month_start_date,year_month,asin,seo_handler,target_revenue,target_gp,active_target_revenue,active_target_gp,total_income,gross_profit,rev_attain_pct,gp_attain_pct,gp_margin_pct,rev_gap_vs_active,gp_gap_vs_active,is_incomplete_month,has_zero_income,plan_but_inactive
2026-04-01,2026-04,B0B1QR7DWZ,Aneesh Kumar,5000.0,1000.0,4667.0,933.0,4022.0,784.0,86.18,84.03,19.49,-645.0,-149.0,0,0,0
2026-04-01,2026-04,B0B252QTL4,Aneesh Kumar,1000.0,200.0,1000.0,200.0,1771.0,405.0,177.1,202.5,22.87,771.0,205.0,0,0,0
2026-04-01,2026-04,B0B3RJ76ML,Aneesh Kumar,1650.0,350.0,1540.0,327.0,1092.0,288.0,70.91,88.07,26.37,-448.0,-39.0,0,0,0
2026-04-01,2026-04,B0B8SWNKD7,Aneesh Kumar,2500.0,400.0,2333.0,373.0,1894.0,272.0,81.18,72.92,14.36,-439.0,-101.0,0,0,0
2026-04-01,2026-04,B0BNVKF7C9,Aneesh Kumar,5800.0,1500.0,5220.0,1350.0,4863.0,1639.0,93.16,121.41,33.7,-357.0,289.0,0,0,0
2026-04-01,2026-04,B0BSGZV1T9,Aneesh Kumar,4750.0,750.0,4750.0,750.0,5473.0,920.0,115.22,122.67,16.81,723.0,170.0,0,0,0
2026-04-01,2026-04,B0BT85QTFQ,Aneesh Kumar,1500.0,450.0,1400.0,420.0,1023.0,341.0,73.07,81.19,33.33,-377.0,-79.0,0,0,0
2026-04-01,2026-04,B0BV68VQV3,Aneesh Kumar,550.0,120.0,550.0,120.0,695.0,245.0,126.36,204.17,35.25,145.0,125.0,0,0,0
2026-04-01,2026-04,B0BZW1BYH7,Aneesh Kumar,3000.0,650.0,2800.0,607.0,2559.0,329.0,91.39,54.2,12.86,-241.0,-278.0,0,0,0
2026-04-01,2026-04,B0C3H9CVNZ,Aneesh Kumar,500.0,90.0,467.0,84.0,429.0,146.0,91.86,173.81,34.03,-38.0,62.0,0,0,0
2026-04-01,2026-04,B0C6Y973ZP,Aneesh Kumar,700.0,60.0,700.0,60.0,406.0,100.0,58.0,166.67,24.63,-294.0,40.0,0,0,0
2026-04-01,2026-04,B0C7WG2333,Aneesh Kumar,12000.0,1800.0,12000.0,1800.0,11171.0,2000.0,93.09,111.11,17.9,-829.0,200.0,0,0,0
2026-04-01,2026-04,B0C9CMMGPK,Aneesh Kumar,2500.0,450.0,2500.0,450.0,3386.0,985.0,135.44,218.89,29.09,886.0,535.0,0,0,0
2026-04-01,2026-04,B0CB4M926G,Aneesh Kumar,300.0,50.0,300.0,50.0,373.0,82.0,124.33,164.0,21.98,73.0,32.0,0,0,0
2026-04-01,2026-04,B0CB7ZDLXZ,Aneesh Kumar,1800.0,260.0,1800.0,260.0,2049.0,377.0,113.83,145.0,18.4,249.0,117.0,0,0,0
2026-04-01,2026-04,B0CF1MQ97T,Aneesh Kumar,200.0,20.0,200.0,20.0,170.0,6.0,85.0,30.0,3.53,-30.0,-14.0,0,0,0
2026-04-01,2026-04,B0CF28WQH3,Aneesh Kumar,700.0,120.0,700.0,120.0,1585.0,-25.0,226.43,-20.83,-1.58,885.0,-145.0,0,0,0
2026-04-01,2026-04,B0CLVCMHBS,Aneesh Kumar,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0,1,0
2026-04-01,2026-04,B0CN31Y5ZP,Aneesh Kumar,1700.0,250.0,1700.0,250.0,2103.0,348.0,123.71,139.2,16.55,403.0,98.0,0,0,0
2026-04-01,2026-04,B0CN32XKTL,Aneesh Kumar,780.0,50.0,0.0,0.0,17.0,6.0,2.18,12.0,35.29,17.0,6.0,0,0,1
2026-04-01,2026-04,B0CQ1Y7H9N,Aneesh Kumar,1800.0,350.0,1800.0,350.0,1441.0,97.0,80.06,27.71,6.73,-359.0,-253.0,0,0,0
2026-04-01,2026-04,B0CQ1ZY6RM,Aneesh Kumar,3200.0,500.0,3200.0,500.0,1716.0,154.0,53.62,30.8,8.97,-1484.0,-346.0,0,0,0
2026-04-01,2026-04,B0CR14DN7M,Aneesh Kumar,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0,1,0
2026-04-01,2026-04,B0CSK9ZG34,Aneesh Kumar,2000.0,150.0,2000.0,150.0,1613.0,291.0,80.65,194.0,18.04,-387.0,141.0,0,0,0
2026-04-01,2026-04,B0CSKBLHCB,Aneesh Kumar,1350.0,340.0,1350.0,340.0,869.0,308.0,64.37,90.59,35.44,-481.0,-32.0,0,0,0
2026-04-01,2026-04,B0CTVQVDMG,Aneesh Kumar,5000.0,1000.0,1500.0,300.0,2078.0,515.0,138.53,171.67,24.78,578.0,215.0,0,0,0
2026-04-01,2026-04,B0CW374CVT,Aneesh Kumar,4000.0,800.0,3733.0,747.0,7641.0,2173.0,204.69,290.9,28.44,3908.0,1426.0,0,0,0
2026-04-01,2026-04,B0CWLLPHQF,Aneesh Kumar,1850.0,550.0,1850.0,550.0,3305.0,877.0,178.65,159.45,26.54,1455.0,327.0,0,0,0
2026-04-01,2026-04,B0CWLN5S1N,Aneesh Kumar,1500.0,200.0,1500.0,200.0,344.0,26.0,22.93,13.0,7.56,-1156.0,-174.0,0,0,0
2026-04-01,2026-04,B0D8L2Y7CG,Aneesh Kumar,1600.0,200.0,1493.0,187.0,1685.0,273.0,112.86,145.99,16.2,192.0,86.0,0,0,0
2026-04-01,2026-04,B0DBQ2ZWVB,Aneesh Kumar,3300.0,700.0,330.0,70.0,1057.0,308.0,320.3,440.0,29.14,727.0,238.0,0,0,0
2026-04-01,2026-04,B0DCK8JV7C,Aneesh Kumar,500.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,1,1
