asin,sku,product_name,current_price,deal_price,ppc_assignee,daily_avg_units,daily_sale_avg,expected_units,expected_sale,ppc_share,exp_ppc_units,daily_budget_per_product,cpu_per_product,day1_units,day1_sales,day1_spend,spend_diff,unit_diff,bacos,gp_pct,gp_per_unit,expected_gp_pct,expected_bacos,extra_blended,event_date,brand
B01FWFE7VK,CC0173,VitalCore Resveratrol with Red Wine Extract 510mg 60 Capsules,25.99,20.51,Akshay,19.0,493.81,25.0,512.75,0.5,12.5,65.09082265,5.207265812,58.0,1221.05,126.05,60.95917735,33.0,0.1032308259,0.2967,5.77,0.3155,0.13,-0.02676917407,2025-07-09,VitalCore
B07ZZ4G399,CC0345,VitalCore Hyaluronic Acid 600mg 180 Capsules,25.99,21.99,Akshay,18.0,467.82,40.0,879.6,0.35,14.0,37.65750736,2.689821954,50.0,1121.41,135.65,97.99249264,10.0,0.1209637867,0.2065,4.3,0.1676,0.15,-0.02903621334,2025-07-09,VitalCore
B0CB7ZDLXZ,CC0511,Medora Omega 3-6-9 for Kids 200mg 120 Gummies,18.99,17.09,Srikara,3.0,56.97,15.0,256.35,0.62,9.3,106.6367179,11.46631375,5.0,87.35,17.44,-89.19671788,-10.0,0.1996565541,0.152,2.46,0.1139,0.23,-0.03034344591,2025-07-09,Medora
B08DG4NXBS,CC0395,VitalCore Iron 28mg 400 Tablets,19.97,16.08,Akshay,19.0,379.43,35.0,562.8,0.62,21.7,167.886951,7.736725854,39.0,642.82,117.26,-50.62695103,4.0,0.182414984,0.2793,4.26,0.2383,0.22,-0.03758501602,2025-07-09,VitalCore
B0924PFYN9,CC0024,VitalCore Creatine Monohydrate 3000mg 270 Tablets,25.99,21.49,Srikara,39.0,1013.61,60.0,1289.4,0.51,30.6,214.4911642,7.009515171,79.0,1762.92,303.72,89.22883577,19.0,0.1722823497,0.3045,6.2,0.2618,0.21,-0.03771765026,2025-07-09,VitalCore
B08PKYTQSL,CC0372,VitalCore Liposomal Vitamin C 1000mg 180 Capsules,29.99,23.49,Srikara,49.0,1469.51,90.0,2114.1,0.45,40.5,379.7219524,9.375850677,125.0,3027.97,154.34,-225.3819524,35.0,0.05097144291,0.4601,10.24,0.4184,0.09,-0.03902855709,2025-07-09,VitalCore
B0924NLC1W,CC0030,VitalCore Astaxanthin 18mg 180 Capsule,21.99,18.49,Sourabh,7.0,153.93,20.0,369.8,0.58,11.6,80.75028775,6.961231703,18.0,336.5,50.16,-30.59028775,-2.0,0.149063893,0.2617,4.59,0.2185,0.19,-0.04093610698,2025-07-09,VitalCore
B07ZKMCN2Z,CC0342,VitalCore Bio Culture Complex 77Billion 60 Capsules,21.99,17.49,Srikara,17.0,373.83,50.0,874.5,0.48,24.0,168.2045625,7.008523436,32.0,564.33,87.55,-80.65456246,-18.0,0.1551397232,0.2275,3.77,0.1802,0.2,-0.04486027679,2025-07-09,VitalCore
B08DG68P6B,CC0394,VitalCore Vitamin D3 4000IU + K2 (MK-7) 100mcg 180 Tablets,21.99,18.19,Akshay,17.0,373.83,45.0,818.55,0.51,22.95,104.8864729,4.570216684,38.0,702.27,116.9,12.0135271,-7.0,0.1664601934,0.3152,5.43,0.2581,0.22,-0.05353980663,2025-07-09,VitalCore
B091FT9L27,CC0032,VitalCore N-Acetyl-Cysteine(NAC)600mg180Capsules,19.99,17.99,Syed,20.0,399.8,45.0,809.55,0.6,27.0,177.5575387,6.576205137,46.0,849.87,131.32,-46.2375387,1.0,0.1545177498,0.1709,2.91,0.1059,0.21,-0.05548225023,2025-07-09,VitalCore
B08TCG2RH7,CC0009,"VitalCore Calcium, Magnesium and Zinc with Vitamin D3 400 Tablets",23.99,19.49,Srikara,41.0,983.59,70.0,1364.3,0.69,48.3,444.5304364,9.203528703,112.0,2208.66,380.95,-63.58043635,42.0,0.1724801463,0.204,3.77,0.1291,0.23,-0.05751985367,2025-07-09,VitalCore
