asin,product_name,brand,sku,seo_owner,ppc_owner,in_monthly_pnl,in_prime_day
B07GYW9CVG,PawVista Urinary Aids - Dog 120 Tablets,PawVista,,Aneesh,Amjad,1,0
B07H2YR3WV,PawVista Glucosamine & Chondroitin for dogs & cats 180 Capsules,PawVista,,Twinkle,Amjad,0,0
B07H2YTKLC,PawVista Cod liver oil Cat & Dog,PawVista,,,,0,0
B07H2ZS63X,PawVista Co-Enzyme Q10 for Cats & Dogs,PawVista,,,,0,0
B07H3166FW,PawVista Raspberry Leaf  for Dogs & Cats,PawVista,,,,0,0
B07H31BR7M,Eco Masters Gold Edition Carrot & Argan Face,Other,,,,0,0
B07H31N361,PawVista Echinacea for Dogs & Cats,PawVista,,,,0,0
B07H31TD23,Eco Masters Gold Edition Carrot & Argan Body,Other,,,,0,0
B07H31TS29,Eco Masters Gold Edition Carrot & Argan,Other,,,,0,0
B07H36ZP33,PawVista Calming Aids for Dogs,PawVista,,,,0,0
B07H4Q2D4G,Eco Masters Gold Edition Exclusive Body,Other,,,,0,0
B07H4Q5ZM9,Eco Masters Gold Edition Carrot and Argan (Pack of 2),Other,,,,0,0
B07H4QJKR2,Eco Masters Hair-Plus Mask,Other,,,,0,0
B07H5HRNN3,Eco Masters Gold Edition Sulphur (Pack Of 2),Other,,,,0,0
B07H5LFD2B,Eco Masters Gold Edition Exfoliating (Pack of 2),Other,,,,0,0
B07H5QWMMM,Eco Masters Gold Edition Exclusive (Pack of 2),Other,,,,0,0
B07H9YVLTM,PawVista Evening Primrose Oil for Dogs & Cats,PawVista,,,,0,0
B07H9YXZ46,PawVista Stress Support for Cats & Dogs,PawVista,,,,0,0
B07H9ZSC67,PawVista Eye Support for Cats & Dogs,PawVista,,,,0,0
B07H9ZVD27,Eco Masters Chin & Neck Firming,Other,,,,0,0
B07HB15TV2,PawVista Serrapeptase for Dog & Cat,PawVista,,,,0,0
B07HB1H9ZZ,PawVista Denti-Care Kit For Dogs 200 g  Toothpaste,PawVista,,,,1,0
B07HB1QXH9,PawVista Turmeric with Black Pepper for Cats & Dogs,PawVista,,,,0,0
B07HB1WD1H,Eco Masters Ingrown Hair,Other,,,,0,0
B07HB1XQLN,PawVista Skin & Coat Shampoo,PawVista,,,,0,0
